Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Tuned Decision Tree,0.99885,0.9989114165192543,0.9979608482871125,0.9988498854059333,0.9987034087271134
Tuned Logistic Regression,0.9987,0.997826677533279,0.9986405655247417,0.9987001107217073,0.9997540137507163
Decision Tree,0.99755,0.996197202227353,0.9971451876019576,0.9975502433928061,0.9992887160143532
Logistic Regression,0.99725,0.9964640282877737,0.9960576400217509,0.9972498826609518,0.9997561318192992
Support Vector Machine,0.96585,0.9542545949625596,0.9528276237085372,0.9658446478647449,0.9959690359446346
K-Nearest Neighbors,0.86425,0.919848018816718,0.6911364872213159,0.8591918481666855,0.9443890449450282
Naive Bayes,0.8357,0.781777900858488,0.767536704730832,0.8353778974116259,0.910483777185894
